students file: ../12000_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
7231742797_5667358719 88
1649972459_1533467002 79
1649972349_1649972459 76
1650036064_1650036363 74
1640104237_1649972349 73
6766624209_1568670974 61
835352929_835352905 60
835352970_1640118120 59
7218580514_1640118163 58
1649972016_1533476090 56
7231742810_7231742819 55
1533476090_4188372130 53
1649972260_6808154773 53
4188372090_4188372100 53
1640110025_1640109957 50
1640109957_1640104233 50
1649972351_1649972419 49
1649972419_4455406004 49
1510920362_1510920511 48
1640104233_1640104237 47
552450801_4188372224 45
1640118252_1658501579 45
181657835_1650036049 44
1640109958_1640118197 42
1649972402_5667387938 41
1510920511_6808309480 41
5667387940_5667387938 41
6808322566_6808322562 40
1649972070_1510920478 39
6808309461_5664033045 39
552449847_1533467002 39
6764767053_6808309463 39
1658502014_6779375099 38
6779375099_835353029 38
835353029_835353018 38
835353018_552450457 38
7231742788_7231742789 38
7231742789_1649972070 38
1658501588_3203441285 38
1640109952_1640118156 37
1533467002_552449847 37
552449847_1649972124 37
1640118156_1640118197 37
1640118128_4188372129 37
1533476118_1649972016 37
552450457_7231742788 37
7231742819_5667358719 37
5664033045_6808309451 37
1640118163_1640118245 37
1658513408_1650035996 36
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 18665
--------TIME--------
16:47:49.067389
