students file: ../12000_students/f_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1640104233_1640104237 115
1640109957_1640104233 110
1640110025_1640109957 100
1510920362_1510920511 95
1658513408_1650035996 91
835352929_835352905 91
1640109950_1640109952 88
1640118208_1640118180 87
1649972041_1640109950 84
1649972349_1649972459 79
1649972016_1533476090 79
1649972459_1533467002 79
1650036064_1650036208 77
6766624209_1568670974 77
1649972070_1510920478 76
6808309461_5664033045 76
1640109952_1640118156 75
1649972126_1649972166 75
1640104237_1649972349 73
1533476118_1649972016 71
6779375099_835353029 71
835353018_552450457 71
7231742789_1649972070 71
1640118156_1640118197 69
1640104235_1640104237 69
1640118120_1510920467 69
1640104234_1640104235 67
1640118173_1640110009 63
1640110013_1640109948 63
1640109948_1640109994 63
1640110023_1649972041 63
1658513391_7229906418 63
1640118180_1649972126 63
1510920467_1510920362 63
1510920412_1510920392 63
1640110009_1640110013 62
552449847_1649972124 61
1510920472_1510920412 61
1649972260_6808154773 61
1640110048_1640104237 61
1640118178_1649972065 59
835352970_1640118120 59
1650036208_1510920472 59
1649972301_835352961 58
835352961_552449847 58
1649972097_1640110025 57
1640118200_1649972258 57
1650036165_1649972262 57
1649972262_7218359000 57
1658519806_1649972223 57
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 9038
--------TIME--------
5:44:54.168122
