students file: ../12000_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
7231742797_5667358719 88
1649972349_1649972459 79
1649972016_1533476090 79
1649972459_1533467002 79
6766624209_1568670974 77
1640104237_1649972349 73
835352929_835352905 71
1650036064_1650036363 69
835352970_1640118120 59
7218580514_1640118163 59
1649972070_1510920478 56
1640104233_1640104237 55
7231742810_7231742819 55
1640109957_1640104233 54
1510920362_1510920511 54
1640110025_1640109957 53
1533476090_4188372130 53
6808322566_6808322562 52
1649972097_1640110025 51
1649972041_1640109950 50
1640109950_1640109952 50
1640109952_1640118156 50
1640118156_1640118197 50
1533476118_1649972016 50
835353018_552450457 50
7231742789_7231742797 50
7231742789_1649972070 50
4188372090_4188372100 50
1658513408_1650035996 49
1649972351_1649972419 49
1649972419_4455406004 49
552449847_1649972124 47
6779375099_835353029 47
1640118120_1510920467 47
1510920467_1510920362 47
1640118252_1658501579 47
1649972260_6808154773 46
6789545859_1640110041 46
1640104234_1640104235 45
1640104235_1640104237 45
552450801_4188372224 45
181657835_1650036049 44
1640110041_1640109938 42
6808309461_5664033045 42
1649972061_5667387940 42
1640110023_1649972041 41
1640104237_1649972260 41
1640110022_1640118234 41
1640118200_1640118266 41
1649972402_5667387938 41
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 18665
--------TIME--------
16:45:40.965202
