students file: ../1200_students/t_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1640104237_1649972349 45
1649972349_1649972459 45
1649972459_1533467002 45
552449847_1533467002 39
1649972016_1533476090 31
1533476090_4188372130 31
6766624209_1568670974 29
1533467002_6779375098 29
1640109952_1640118156 24
1640118156_1640118197 24
1640118197_1533476114 24
1533476114_1649972206 24
1533476118_1649972016 24
1649972097_1640110025 23
1640110025_1640109957 23
1640109957_1640104233 23
1640104233_1640104237 23
1649972206_1533476118 23
1649972351_1649972419 20
1649972419_4455406004 20
2155232272_2155232268 20
1658513408_1650035996 17
1650035996_1640104238 17
1640104238_1640104234 17
1640104234_1640104235 17
1640104235_1640104237 17
552450062_6766624209 17
1568670974_552449847 17
6808322562_1649972351 17
1640109980_181657835 16
7231742797_5667358719 16
1640109971_1640109952 15
1649972124_6779375094 15
552450801_4188372224 15
6779375096_835352929 15
835352929_835352905 15
835352961_552449847 15
7231742788_7231742789 15
7231742789_7231742797 15
6808322566_6808322562 14
1640110022_1640118234 13
1649972323_1649972266 13
1649971995_6808322566 13
1650035939_1640109980 13
1649972041_1640109950 13
1640109950_1640109952 13
1640110044_1640110022 12
1640118234_1649972248 12
1649972266_1649971995 12
1640110023_1649972041 12
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1804
--------TIME--------
0:47:47.410983
