students file: ../1200_students/w_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 29
552449847_1533467002 28
1640104237_1649972349 25
1649972349_1649972459 25
1649972459_1533467002 24
1658501588_3203441285 17
3203441285_3203441289 17
835352970_1640118120 16
1640109937_1640118159 16
1640118159_3203441294 16
3203441294_1658501588 16
1649972016_1533476090 14
1533476090_4188372130 14
552450062_6766624209 14
6766624209_1568670974 14
1568670974_552449847 14
1658513408_1650035996 13
1650035996_1640104238 13
1640104238_1640104234 13
1640104234_1640104235 13
1640104235_1640104237 13
1649972327_1640110044 13
1640110044_1640110022 13
1649972097_1640110025 12
1640110025_1640109957 12
1649972124_6779375094 12
552450801_4188372224 12
6779375096_835352929 12
835352929_835352905 12
835352905_1640118169 12
1640118169_835352970 12
1649972061_5667387940 12
6808322562_1649972351 12
1649972351_1649972419 12
5667387940_5667387938 12
1649972419_4455406004 12
835352905_835352929 12
1640109957_1640104233 11
7231742797_5667358719 11
2155232272_2155232268 11
1649972124_552449847 11
1640109980_181657835 10
1640109952_1640118156 10
1640118156_1640118197 10
1640118197_1533476114 10
1533476114_1649972206 10
1640104233_1640104237 10
1533467002_552449847 10
552449847_1649972124 10
7231742788_7231742789 10
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1918
--------TIME--------
1:34:20.221649
