students file: ../120_students/r_students.txt, start: 07:00:00, end: 22:00:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 13
1640104237_1649972349 8
1649972349_1649972459 8
1649972459_1533467002 8
1658513408_1650035996 6
1650035996_1640104238 6
1640104238_1640104234 6
1640104234_1640104235 6
1640104235_1640104237 6
1640118173_1640110009 5
1640110009_1640110013 5
1640110013_1640109948 5
1658513391_7229906418 5
7229906418_1658513375 5
1658513375_1658513408 5
552449847_1533467002 5
1640104233_1640109957 5
5669704981_1640118264 4
1640118264_1640118258 4
1640118258_1640118173 4
1640109948_1640109994 4
5669704974_5666977132 4
5666977132_1640118192 4
1640109994_1658513391 4
1640118192_1649941070 4
1640104237_1640104233 4
1649941070_1640118171 4
1640118171_1640118236 4
1640118236_1649972202 4
1649972202_1658501657 4
1658501657_3402073671 4
3402073671_1649972143 4
1649972143_3402072316 4
3402072316_3402072317 4
4188372130_552450062 3
1640109950_1640109952 3
1649972016_1533476090 3
1533476090_4188372130 3
1649972351_1649972419 3
5669704974_5669704981 3
1650036165_1649972262 3
5666977132_5669704974 3
1649972262_7218359000 3
1640109971_1640109952 3
7218359000_1658519806 3
5669704981_5669704974 3
1640118136_1640118224 3
1658519806_1649972223 3
1649972223_4188371484 3
4188371484_899331985 3
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 185
--------TIME--------
0:54:00.041755
