students file: ../120_students/r_students.txt, start: 07:00:00, end: 22:00:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 6
1640104237_1649972349 5
1649972349_1649972459 5
1640104233_1640109957 5
1649972459_1533467002 4
1640104234_1640104235 4
1640104235_1640104237 4
3402072316_3402072317 4
1649972016_1533476090 3
5669704981_1640118264 3
5666977132_5669704974 3
5669704974_5669704981 3
1640118264_1640118258 3
1640118258_1640118173 3
1640118173_1640110009 3
1640110009_1640110013 3
1640110013_1640109948 3
1650036165_1649972262 3
1640109948_1640109994 3
1640109994_1658513391 3
1658513391_7229906418 3
7229906418_1658513375 3
1658513375_1658513408 3
1658513408_1650035996 3
1650035996_1640104238 3
1640104238_1640104234 3
552449847_1533467002 3
1533467002_1649972459 3
1640110023_1640109991 3
1640118180_1640118125 3
1650036064_1650036363 3
552450801_4188372224 2
835352929_835352905 2
1640118266_1640118200 2
835352970_1640118120 2
1640118200_1649972258 2
1649972258_1650036165 2
1640118120_1510920467 2
1510920467_1510920362 2
1510920362_1510920511 2
1510920511_6808309480 2
1649972402_5667387938 2
1640109950_1640109952 2
1533476090_4188372130 2
1649972318_1649972234 2
6808322585_1649972002 2
1649972002_6808322562 2
1649972351_1649972419 2
1649972419_4455406004 2
1640118192_5666977132 2
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 185
--------TIME--------
0:02:18.273432
