students file: ../120_students/t_students.txt, start: 07:00:00, end: 22:00:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 6
1649972349_1649972459 5
1649972459_1533467002 5
1640104237_1649972349 4
3402072316_3402072317 4
552449847_1533467002 3
1640118127_1640110039 3
1650036064_1650036363 3
1640109976_1649941111 3
1649941111_1649941078 3
1649941078_1640110032 3
1640110032_1640110038 3
1640110038_1640110055 3
1640110055_1649941150 3
1640109956_1640110006 3
1640110006_1658513400 3
1658513400_1640109977 3
5669704981_5669704974 3
5669704974_5666977132 3
5666977132_1640118192 3
1640104235_1640104237 3
1640109977_1640109957 3
1640118192_1649941070 3
1640104233_1640109957 3
1649941070_1640118171 3
1640118171_1640118236 3
1640118236_1649972202 3
1649972202_1658501657 3
1658501657_3402073671 3
3402073671_1649972143 3
1649972143_3402072316 3
1640118200_1649972258 2
1649972258_1650036165 2
1649972061_5667387940 2
5667387940_5667387938 2
835352961_552449847 2
1649972001_1649972402 2
1640110039_1640110051 2
1640110023_1649972041 2
1649972041_1640109950 2
1640109950_1640109952 2
1640109952_1640118156 2
1640118156_1640118197 2
1640118197_1533476114 2
1533476114_1649972206 2
1649972016_1533476090 2
1533476090_4188372130 2
4188372130_552450062 2
1640118252_1658501579 2
1658501579_1650036064 2
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 186
--------TIME--------
0:02:18.864455
