students file: ../12_students/m_students.txt, start: 07:30:00, end: 21:30:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 2
1640109985_1640109991 1
1640109991_1640110019 1
1640110019_6789545860 1
6789545860_6789545859 1
6789545859_1640109976 1
1640109976_1649941111 1
1649941111_1649941078 1
1649941078_1640110032 1
1640110032_1640110038 1
1640110038_1640110055 1
1640110055_1649941150 1
1640118127_1640110039 1
1649941150_1640109956 1
1640109956_1640110006 1
1640110039_1640110051 1
1640110006_1658513400 1
1640110051_1640110042 1
1658513400_1640109977 1
1640110042_1640110019 1
1640109977_1658513412 1
1658513412_1640110024 1
1640110024_1649972097 1
1649972097_181657835 1
181657835_1650036049 1
6789545860_1640109976 1
1649941111_1649941079 1
1649941079_1649941120 1
1649941120_1640110016 1
1640110016_1640110049 1
1650036049_1658519819 1
1658519819_181657814 1
181657814_1658513379 1
1640110049_1650036038 1
1658513379_1640109948 1
1650036038_1640109953 1
1640109953_1640110001 1
1640109948_1640109946 1
1640110001_1640110007 1
1640109946_1649972320 1
1649972320_1649972039 1
1640110007_1640110048 1
1649972039_1649972074 1
1640110048_1640104237 1
1649972074_1649972378 1
1649972378_1649972318 1
1649972318_1649972234 1
1640104237_1649972260 1
1649972260_6808154773 1
1649972234_6808322585 1
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 19
--------TIME--------
0:00:18.502292
