students file: ../6000_students/f_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1649972349_1649972459 79
1649972459_1533467002 79
1640104237_1649972349 73
6766624209_1568670974 72
1649972016_1533476090 71
1640104233_1640104237 57
1640109952_1640118156 53
1640118156_1640118197 53
1533476118_1649972016 53
1533476090_4188372130 53
835352970_1640118120 53
835352929_835352905 52
1649972097_1640110025 51
1640110025_1640109957 51
1640109957_1640104233 51
1640110023_1649972041 47
1649972041_1640109950 47
1640109950_1640109952 47
1658513408_1650035996 45
1640104234_1640104235 45
1640104235_1640104237 45
552450801_4188372224 45
1640104238_1640104234 43
1510920511_6808309480 41
1640118120_1510920467 40
1510920467_1510920362 40
1510920362_1510920511 40
1650035996_1640104238 39
552449847_1533467002 39
6808309461_5664033045 38
6764767053_6808309463 38
1658502014_6779375099 37
6779375099_835353029 37
835353029_835353018 37
835353018_552450457 37
552450457_7231742788 37
7231742788_7231742789 37
7231742789_1649972070 37
1649972070_1510920478 37
5664033045_6808309451 37
1640109968_1650035939 36
1650035939_1640109980 36
1640104237_1649972260 34
1649972260_6808154773 34
1640118200_1649972258 33
1640118197_1533476114 33
1650036165_1649972262 33
1649972262_7218359000 33
7218359000_1658519806 33
1658519806_1649972223 33
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 4193
--------TIME--------
5:01:06.557284
