students file: ../6000_students/w_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1649972349_1649972459 79
1649972459_1533467002 79
1640104237_1649972349 73
1649972016_1533476090 65
6766624209_1568670974 65
835352929_835352905 59
835352970_1640118120 59
7218580514_1640118163 58
1649972225_7218580514 56
1658501588_3203441285 55
1533476090_4188372130 53
7231742797_5667358719 53
1640109952_1640118156 51
1640118156_1640118197 51
1533476118_1649972016 51
6808322566_6808322562 50
1649971995_6808322566 49
1649972351_1649972419 49
1649972419_4455406004 49
1649972061_5667387940 48
5667387940_5667387938 48
7231742788_7231742789 47
7231742789_7231742797 47
1640110023_1649972041 46
1649972041_1640109950 46
1640109950_1640109952 46
1640110022_1640118234 46
1649972323_1649972266 46
552450801_4188372224 45
1640110044_1640110022 45
1650036064_1650036363 45
1640118200_1640118266 44
1640118252_1658501579 44
1658501579_1650036064 44
1640104233_1640104237 43
6789545859_1640110041 43
1640110041_1640109938 43
1640109938_1649972061 43
1640109957_1640104233 41
1510920511_6808309480 41
1658513408_1650035996 40
1640104238_1640104234 40
1640104234_1640104235 40
1640104235_1640104237 40
1649972002_6808322562 40
1649972097_1640110025 39
1640110025_1640109957 39
1650035996_1640104238 39
1640104237_1649972260 39
1649972260_6808154773 39
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 9357
--------TIME--------
4:15:59.886732
