students file: ../600_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 28
552449847_1533467002 18
1640104237_1649972349 13
1649972349_1649972459 13
1649972459_1533467002 12
1649972016_1533476090 10
1533476090_4188372130 10
1658501588_3203441285 10
3203441285_3203441289 10
1533476114_1649972206 9
1649972206_1533476118 9
1533476118_1649972016 9
1649972260_6808154773 9
6808309463_181627258 9
3203441294_1658501588 9
1640118178_1649972065 8
1658513408_1650035996 8
1650035996_1640104238 8
1640104238_1640104234 8
1640109952_1640118156 8
1640118197_1533476114 8
1640118156_1640118197 8
552450062_6766624209 8
6766624209_1568670974 8
1568670974_552449847 8
1640104237_1649972260 8
1533468569_6808154773 8
1640109937_1640118159 8
1640118159_3203441294 8
1640118182_1640118209 7
1640118209_1640118178 7
1640104234_1640104235 7
1640104235_1640104237 7
1640118208_1640118180 7
1640118180_1649972126 7
1649972126_1649972166 7
1649972166_1510920319 7
1650036169_1650036344 7
4188372130_552450062 7
835352961_552449847 7
1533469125_1533468569 7
1650036344_1650036363 7
1640118204_1640118117 7
7229906420_1658513408 6
1658502014_6779375099 6
6779375099_835353029 6
835353029_835353018 6
835353018_552450457 6
7231742788_7231742789 6
552450457_7231742788 6
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 938
--------TIME--------
0:49:27.056358
