students file: ../600_students/r_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 29
1649972349_1649972459 21
1649972459_1533467002 21
1640104237_1649972349 19
552449847_1533467002 19
1533476090_4188372130 15
1649972016_1533476090 14
1640104233_1640104237 13
1649972097_1640110025 12
1640110025_1640109957 12
1640109957_1640104233 12
1640109952_1640118156 11
1640118156_1640118197 11
1640118197_1533476114 11
1640109950_1640109952 11
1533476114_1649972206 11
1649972206_1533476118 11
1533476118_1649972016 11
7231742797_5667358719 11
835352961_552449847 11
1658501588_3203441285 11
2155232272_2155232268 11
3203441285_3203441289 11
7231742788_7231742789 10
7231742789_7231742797 10
3203441294_1658501588 10
1640109980_181657835 9
181657835_1649972097 9
1649972041_1640109950 9
1533467002_552449847 9
1649972124_6779375094 9
552450801_4188372224 9
835352929_835352905 9
1640109937_1640118159 9
1640118159_3203441294 9
1658513408_1650035996 8
1650035996_1640104238 8
1640104238_1640104234 8
1640104234_1640104235 8
1640104235_1640104237 8
552450062_6766624209 8
6766624209_1568670974 8
1568670974_552449847 8
1658519801_1640118252 8
1640118204_1640118117 8
1650036064_1650036363 8
1640110023_1649972041 7
4188372130_552450062 7
552450062_835352961 7
552449847_1649972124 7
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 917
--------TIME--------
9:49:37.189166
