students file: ../600_students/f_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 17
1649972459_1533467002 8
552449847_1533467002 8
1649972016_1533476090 7
1533476090_4188372130 7
1640110025_1640109957 7
4188372130_552450062 6
1640104237_1649972349 6
1649972349_1649972459 6
552450062_6766624209 6
6766624209_1568670974 6
1568670974_552449847 6
1649972260_6808154773 6
1533468569_6808154773 6
1533476118_1649972016 5
6808309463_181627258 5
1640110029_1640110036 5
1533469125_1533468569 5
1640110010_1640109957 5
1640118178_1649972065 4
1640109952_1640118156 4
1640118156_1640118197 4
1640118197_1533476114 4
1533476114_1649972206 4
1649972206_1533476118 4
835352929_835352905 4
181657835_1649972097 4
1649972097_1640110025 4
1640118264_1640118258 4
1640109957_1640104233 4
1640110044_1640110022 4
1640104233_1640104237 4
1650035939_1640109980 4
7218359000_1658519806 4
1640109980_181657835 4
1640104237_1649972260 4
1640110036_1640110010 4
552449851_6808309450 4
1649972065_1640118208 3
1640110023_1649972041 3
1649972041_1640109950 3
1640109950_1640109952 3
1640109950_1640109962 3
1640118266_1640118200 3
1640118200_1649972258 3
1649972258_1650036165 3
1640118208_1649972123 3
1649972123_1640118228 3
1640118228_1658519782 3
1640109971_1640109952 3
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 401
--------TIME--------
0:16:43.148241
