students file: ../60_students/f_students.txt, start: 07:30:00, end: 21:55:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 2
552449847_1533467002 2
1649972002_6808322562 2
6808322562_1649972351 2
1649972351_1649972419 2
1649972419_4455406004 2
5813118011_5664341593 1
5664341593_1649941152 1
1649941152_1649941066 1
1649941066_1649941070 1
1649941070_1640118192 1
1640118192_5666977132 1
5666977132_5669704974 1
5669704974_5669704981 1
5669704981_1640118264 1
1640118264_1640118258 1
181635151_1650036328 1
1640118258_1640118173 1
1640118173_1640110009 1
1640110009_1640110013 1
1650036328_1650036335 1
1649941131_1649941037 1
1650036335_1650036133 1
1640110013_1640109948 1
1650036133_1649941129 1
1649941037_1649941067 1
1640109948_1640109994 1
1649941129_1649941145 1
1649941067_1649941069 1
1649941145_5758312783 1
5758312783_1658519790 1
1658519790_1640118174 1
1649941069_1649941039 1
1640109994_1658513391 1
1658513391_7229906418 1
1649941039_1649941149 1
1649941149_181657841 1
1640118174_1640118211 1
7229906418_1658513375 1
1658513375_1658513408 1
1658513408_1650035996 1
1640118211_1640118261 1
181657841_1640110004 1
1640110004_1650035939 1
1650035996_1640104238 1
1640118261_181657849 1
1650035939_1650036324 1
1640104238_1640104236 1
181657849_181657841 1
1650036324_1650035978 1
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 39
--------TIME--------
0:14:50.388112
