students file: ../60_students/f_students.txt, start: 07:30:00, end: 21:55:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 2
552449847_1533467002 2
1640118178_1649972065 2
1649972065_1640118208 2
1640118208_1649972123 2
1649972123_1640118228 2
1640118228_1658519782 2
1658519782_4188372095 2
4188372095_1658501890 2
1640118245_1640118182 2
1640118182_1640118209 2
1640118209_1640118178 2
1658501890_1658519788 2
1658519788_1650036145 2
1650036145_4188372208 2
4188372200_1568670971 2
1568670971_6808322296 2
6808322296_835352948 2
835352948_1649972301 2
1649972301_835352961 2
835352961_552449847 2
1649972419_4455406004 2
5813118011_5664341593 1
5664341593_1649941152 1
1649941152_1649941066 1
1649941066_1649941070 1
1649941070_1640118192 1
1640118192_5666977132 1
5666977132_5669704974 1
5669704974_5669704981 1
5669704981_1640118264 1
1640118264_1640118258 1
181635151_1650036328 1
1640118258_1640118173 1
1640118173_1640110009 1
1640110009_1640110013 1
1650036328_4758563690 1
4758563690_4758563681 1
1649941131_1649941037 1
1640110013_1640109948 1
1649941037_1649941067 1
1640109948_1640109994 1
4758563681_1649941061 1
1649941061_1649941153 1
1649941067_1649941069 1
1649941069_1649941039 1
1640109994_1658513391 1
1649941153_1640118145 1
1658513391_7229906418 1
1640118145_1640118147 1
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 39
--------TIME--------
0:14:53.138963
